"ZIP Code","Week Number","Week Start","Week End","Cases - Weekly","Cases - Cumulative","Case Rate - Weekly","Case Rate - Cumulative","Tests - Weekly","Tests - Cumulative","Test Rate - Weekly","Test Rate - Cumulative","Percent Tested Positive - Weekly","Percent Tested Positive - Cumulative","Deaths - Weekly","Deaths - Cumulative","Death Rate - Weekly","Death Rate - Cumulative","Population","Row ID","ZIP Code Location"
"60641","40","10/01/2023","10/07/2023","23","22,314","32","31,418","161","377,738","227","531,853.1","13.0%","6.9%","0","206","0.0","290.0","71,023","60641-2023-40","POINT (-87.746791 41.946682)"
"60641","41","10/08/2023","10/14/2023","15","22,329","21","31,439.1","139","377,877","196","532,048.8","11.5%","6.9%","0","206","0.0","290.0","71,023","60641-2023-41","POINT (-87.746791 41.946682)"
"60641","42","10/15/2023","10/21/2023","28","22,357","39","31,478.5","216","378,093","304","532,352.9","11.1%","6.9%","0","206","0.0","290.0","71,023","60641-2023-42","POINT (-87.746791 41.946682)"
"60641","4","01/21/2024","01/27/2024","32","22,959","45","32,326.1","0","0","0","0","0.0%","0.0%","0","207","0.0","291.5","71,023","60641-2024-4","POINT (-87.746791 41.946682)"
"60641","7","02/12/2023","02/18/2023","60","21,410","85","30,145.2","1,372","358,521","1,932","504,795.6","4.6%","7.0%","0","202","0.0","284.4","71,023","60641-2023-7","POINT (-87.746791 41.946682)"
"60641","8","02/19/2023","02/25/2023","58","21,468","82","30,226.8","1,645","360,166","2,316","507,111.8","4.0%","7.0%","0","202","0.0","284.4","71,023","60641-2023-8","POINT (-87.746791 41.946682)"
"60641","9","02/26/2023","03/04/2023","82","21,550","116","30,342.3","1,617","361,783","2,277","509,388.5","6.2%","7.0%","0","202","0.0","284.4","71,023","60641-2023-9","POINT (-87.746791 41.946682)"
"60641","2","01/07/2024","01/13/2024","39","22,897","55","32,238.9","0","0","0","0","0.0%","0.0%","0","207","0.0","291.5","71,023","60641-2024-2","POINT (-87.746791 41.946682)"
"60641","3","01/14/2024","01/20/2024","30","22,927","42","32,281.1","0","0","0","0","0.0%","0.0%","0","207","0.0","291.5","71,023","60641-2024-3","POINT (-87.746791 41.946682)"
"60641","21","05/17/2020","05/23/2020","170","1,299","239","1,829","1,026","5,194","1,445","7,313.1","20.9%","25.7%","3","41","4.2","57.7","71,023","60641-2020-21","POINT (-87.746791 41.946682)"
"60641","17","04/19/2020","04/25/2020","188","498","265","701.2","607","1,687","855","2,375.3","31.1%","27.7%","4","15","5.6","21.1","71,023","60641-2020-17","POINT (-87.746791 41.946682)"
"60641","13","03/22/2020","03/28/2020","28","39","39","54.9","135","200","190","281.6","15.6%","14.0%","0","0","0.0","0.0","71,023","60641-2020-13","POINT (-87.746791 41.946682)"
"60641","25","06/14/2020","06/20/2020","46","1,574","65","2,216.2","1,176","9,314","1,656","13,114.1","7.0%","19.3%","2","49","2.8","69.0","71,023","60641-2020-25","POINT (-87.746791 41.946682)"
"60641","10","03/01/2020","03/07/2020",,,,,"0","0","0","0","0.0%","0.0%","0","0","0.0","0.0","71,023","60641-2020-10","POINT (-87.746791 41.946682)"
"60641","22","05/24/2020","05/30/2020","109","1,408","154","1,982.5","1,132","6,326","1,594","8,907","14.7%","23.7%","1","42","1.4","59.1","71,023","60641-2020-22","POINT (-87.746791 41.946682)"
"60641","16","04/12/2020","04/18/2020","109","310","154","436.5","383","1,080","539","1,520.6","29.0%","25.7%","5","11","7.0","15.5","71,023","60641-2020-16","POINT (-87.746791 41.946682)"
"60641","13","03/27/2022","04/02/2022","35","16,584","49","23,350.2","3,505","274,499","4,935","386,493.1","1.3%","7.2%","0","190","0.0","267.5","71,023","60641-2022-13","POINT (-87.746791 41.946682)"
"60641","12","03/15/2020","03/21/2020","10","11","14","15.5","60","65","85","91.5","11.7%","10.8%","0","0","0.0","0.0","71,023","60641-2020-12","POINT (-87.746791 41.946682)"
